,incident_date
0,2015-01-25
1,2015-01-21
2,2015-02-22
3,2015-01-10
4,2015-02-17
5,2015-01-02
6,2015-01-13
7,2015-02-27
8,2015-01-30
9,2015-01-05
10,2015-01-06
11,2015-02-15
12,2015-01-22
13,2015-01-08
14,2015-01-15
15,2015-01-29
16,2015-02-22
17,2015-01-06
18,2015-01-19
19,2015-02-22
20,2015-01-01
21,2015-02-10
22,2015-01-11
23,2015-01-19
24,2015-02-24
25,2015-01-09
26,2015-01-28
27,2015-01-07
28,2015-01-08
29,2015-02-15
30,2015-01-18
31,2015-02-28
32,2015-02-24
33,2015-01-09
34,2015-02-12
35,2015-01-24
36,2015-01-09
37,2015-01-18
38,2015-01-21
39,2015-01-08
40,2015-01-03
41,2015-01-01
42,2015-01-16
43,2015-02-10
44,2015-02-14
45,2015-02-21
46,2015-02-18
47,2015-01-10
48,2015-02-26
49,2015-01-01
50,2015-01-03
51,2015-01-17
52,2015-02-22
53,2015-01-27
54,2015-02-27
55,2015-01-06
56,2015-02-28
57,2015-02-22
58,2015-01-07
59,2015-01-06
60,2015-01-10
61,2015-02-11
62,2015-01-12
63,2015-02-06
64,2015-01-20
65,2015-02-22
66,2015-01-30
67,2015-02-02
68,2015-01-10
69,2015-02-27
70,2015-02-20
71,2015-02-08
72,2015-02-11
73,2015-02-23
74,2015-03-01
75,2015-01-15
76,2015-01-14
77,2015-02-17
78,2015-01-24
79,2015-01-21
80,2015-02-19
81,2015-01-03
82,2015-01-29
83,2015-01-19
84,2015-01-19
85,2015-02-02
86,2015-01-30
87,2015-01-08
88,2015-01-30
89,2015-01-07
90,2015-02-24
91,2015-02-02
92,2015-02-28
93,2015-02-09
94,2015-01-19
95,2015-02-21
96,2015-01-14
97,2015-01-22
98,2015-02-22
99,2015-01-26
100,2015-01-24
101,2015-02-19
102,2015-01-29
103,2015-02-15
104,2015-02-12
105,2015-01-01
106,2015-01-13
107,2015-03-01
108,2015-02-02
109,2015-01-27
110,2015-01-12
111,2015-01-06
112,2015-01-30
113,2015-03-01
114,2015-02-24
115,2015-01-24
116,2015-02-26
117,2015-01-19
118,2015-01-17
119,2015-02-20
120,2015-02-22
121,2015-01-23
122,2015-01-31
123,2015-01-05
124,2015-02-03
125,2015-02-17
126,2015-01-09
127,2015-02-08
128,2015-02-06
129,2015-01-14
130,2015-01-22
131,2015-02-23
132,2015-02-22
133,2015-01-24
134,2015-02-09
135,2015-01-19
136,2015-01-01
137,2015-01-07
138,2015-02-01
139,2015-02-21
140,2015-01-21
141,2015-01-19
142,2015-02-27
143,2015-02-14
144,2015-02-01
145,2015-02-02
146,2015-02-01
147,2015-01-19
148,2015-02-18
149,2015-02-08
150,2015-01-09
151,2015-02-27
152,2015-01-08
153,2015-01-08
154,2015-02-24
155,2015-02-12
156,2015-02-18
157,2015-02-06
158,2015-02-14
159,2015-02-05
160,2015-01-25
161,2015-01-16
162,2015-01-28
163,2015-01-21
164,2015-01-07
165,2015-02-23
166,2015-02-14
167,2015-02-27
168,2015-02-21
169,2015-01-05
170,2015-01-30
171,2015-02-26
172,2015-01-10
173,2015-02-23
174,2015-02-05
175,2015-01-21
176,2015-01-07
177,2015-01-11
178,2015-02-06
179,2015-01-24
180,2015-02-18
181,2015-01-12
182,2015-01-17
183,2015-01-12
184,2015-01-06
185,2015-02-25
186,2015-02-16
187,2015-02-25
188,2015-02-21
189,2015-02-16
190,2015-02-09
191,2015-02-13
192,2015-01-11
193,2015-01-02
194,2015-02-12
195,2015-02-05
196,2015-01-24
197,2015-01-12
198,2015-01-16
199,2015-01-13
200,2015-02-02
201,2015-02-28
202,2015-01-18
203,2015-02-15
204,2015-01-31
205,2015-02-10
206,2015-02-26
207,2015-02-25
208,2015-01-08
209,2015-01-14
210,2015-02-03
211,2015-01-05
212,2015-01-24
213,2015-01-26
214,2015-01-21
215,2015-02-06
216,2015-01-07
217,2015-02-10
218,2015-02-23
219,2015-01-09
220,2015-02-22
221,2015-02-21
222,2015-02-04
223,2015-01-07
224,2015-01-17
225,2015-01-28
226,2015-02-22
227,2015-02-16
228,2015-02-17
229,2015-01-09
230,2015-02-09
231,2015-02-16
232,2015-02-18
233,2015-01-11
234,2015-02-04
235,2015-01-22
236,2015-01-10
237,2015-01-10
238,2015-02-16
239,2015-02-08
240,2015-01-26
241,2015-02-01
242,2015-02-02
243,2015-02-06
244,2015-01-01
245,2015-01-19
246,2015-01-17
247,2015-02-01
248,2015-01-02
249,2015-02-20
250,2015-02-05
251,2015-02-27
252,2015-01-27
253,2015-01-26
254,2015-01-13
255,2015-01-14
256,2015-02-22
257,2015-01-17
258,2015-02-02
259,2015-01-07
260,2015-02-02
261,2015-02-07
262,2015-01-18
263,2015-01-10
264,2015-01-30
265,2015-01-25
266,2015-01-29
267,2015-02-24
268,2015-01-04
269,2015-02-25
270,2015-01-27
271,2015-02-19
272,2015-01-31
273,2015-01-18
274,2015-01-10
275,2015-01-28
276,2015-02-16
277,2015-02-08
278,2015-01-20
279,2015-02-06
280,2015-01-24
281,2015-01-14
282,2015-02-18
283,2015-01-10
284,2015-02-13
285,2015-02-17
286,2015-01-07
287,2015-01-29
288,2015-02-13
289,2015-02-01
290,2015-01-29
291,2015-02-06
292,2015-01-28
293,2015-01-21
294,2015-01-16
295,2015-02-17
296,2015-02-01
297,2015-02-25
298,2015-02-26
299,2015-02-06
300,2015-02-03
301,2015-01-27
302,2015-01-21
303,2015-01-24
304,2015-01-17
305,2015-02-23
306,2015-01-09
307,2015-02-15
308,2015-01-16
309,2015-01-14
310,2015-01-01
311,2015-02-16
312,2015-01-04
313,2015-01-12
314,2015-01-08
315,2015-01-22
316,2015-01-13
317,2015-01-18
318,2015-01-19
319,2015-01-31
320,2015-02-06
321,2015-02-04
322,2015-01-02
323,2015-02-26
324,2015-02-08
325,2015-02-07
326,2015-02-17
327,2015-01-12
328,2015-02-01
329,2015-02-03
330,2015-02-21
331,2015-01-09
332,2015-02-16
333,2015-02-04
334,2015-02-24
335,2015-02-01
336,2015-02-05
337,2015-01-07
338,2015-02-06
339,2015-01-21
340,2015-03-01
341,2015-02-24
342,2015-02-02
343,2015-01-31
344,2015-01-09
345,2015-02-23
346,2015-01-28
347,2015-01-14
348,2015-02-03
349,2015-02-17
350,2015-01-30
351,2015-02-03
352,2015-02-03
353,2015-01-31
354,2015-02-06
355,2015-02-06
356,2015-01-29
357,2015-01-07
358,2015-01-20
359,2015-02-28
360,2015-02-04
361,2015-01-12
362,2015-02-28
363,2015-01-08
364,2015-01-25
365,2015-02-26
366,2015-02-03
367,2015-01-31
368,2015-02-01
369,2015-02-21
370,2015-01-30
371,2015-01-31
372,2015-01-13
373,2015-02-16
374,2015-02-04
375,2015-02-07
376,2015-01-16
377,2015-02-28
378,2015-02-08
379,2015-01-02
380,2015-01-13
381,2015-01-07
382,2015-01-05
383,2015-02-28
384,2015-01-04
385,2015-02-02
386,2015-02-23
387,2015-02-10
388,2015-02-16
389,2015-01-04
390,2015-01-30
391,2015-01-25
392,2015-01-22
393,2015-01-01
394,2015-02-14
395,2015-01-15
396,2015-01-06
397,2015-02-08
398,2015-02-17
399,2015-01-21
400,2015-02-09
401,2015-02-12
402,2015-02-24
403,2015-02-02
404,2015-02-14
405,2015-02-15
406,2015-02-28
407,2015-01-18
408,2015-01-06
409,2015-01-19
410,2015-01-17
411,2015-02-12
412,2015-02-11
413,2015-02-21
414,2015-01-02
415,2015-01-11
416,2015-02-23
417,2015-01-28
418,2015-02-01
419,2015-02-24
420,2015-01-20
421,2015-01-14
422,2015-02-05
423,2015-01-11
424,2015-01-02
425,2015-02-12
426,2015-01-03
427,2015-02-25
428,2015-01-19
429,2015-01-03
430,2015-02-12
431,2015-02-24
432,2015-02-25
433,2015-02-17
434,2015-02-09
435,2015-02-15
436,2015-02-25
437,2015-02-05
438,2015-01-12
439,2015-01-01
440,2015-02-19
441,2015-01-14
442,2015-01-30
443,2015-01-20
444,2015-02-18
445,2015-01-07
446,2015-01-16
447,2015-01-15
448,2015-02-01
449,2015-01-06
450,2015-02-02
451,2015-02-25
452,2015-02-10
453,2015-02-22
454,2015-01-31
455,2015-02-12
456,2015-01-06
457,2015-01-01
458,2015-01-07
459,2015-02-21
460,2015-02-14
461,2015-02-16
462,2015-02-04
463,2015-01-22
464,2015-02-15
465,2015-01-07
466,2015-02-23
467,2015-01-06
468,2015-02-07
469,2015-02-14
470,2015-02-15
471,2015-02-14
472,2015-02-05
473,2015-01-04
474,2015-02-20
475,2015-02-05
476,2015-01-15
477,2015-01-05
478,2015-01-01
479,2015-01-26
480,2015-02-13
481,2015-01-14
482,2015-01-31
483,2015-01-22
484,2015-01-30
485,2015-02-17
486,2015-02-20
487,2015-02-04
488,2015-02-23
489,2015-02-08
490,2015-02-21
491,2015-01-13
492,2015-01-17
493,2015-02-18
494,2015-01-14
495,2015-01-27
496,2015-02-12
497,2015-01-17
498,2015-01-13
499,2015-01-21
500,2015-01-01
501,2015-02-18
502,2015-02-04
503,2015-01-09
504,2015-02-14
505,2015-01-03
506,2015-02-04
507,2015-01-30
508,2015-02-20
509,2015-01-07
510,2015-01-31
511,2015-02-17
512,2015-01-24
513,2015-02-02
514,2015-01-09
515,2015-02-28
516,2015-01-17
517,2015-02-09
518,2015-01-14
519,2015-02-02
520,2015-02-17
521,2015-01-25
522,2015-02-13
523,2015-02-20
524,2015-01-08
525,2015-02-28
526,2015-02-12
527,2015-01-06
528,2015-02-15
529,2015-01-20
530,2015-01-03
531,2015-01-26
532,2015-01-25
533,2015-01-18
534,2015-01-12
535,2015-01-15
536,2015-01-10
537,2015-01-23
538,2015-02-21
539,2015-02-17
540,2015-01-06
541,2015-02-18
542,2015-02-17
543,2015-01-24
544,2015-01-21
545,2015-02-03
546,2015-01-07
547,2015-02-02
548,2015-01-13
549,2015-02-28
550,2015-01-16
551,2015-02-01
552,2015-01-30
553,2015-02-16
554,2015-01-07
555,2015-01-10
556,2015-01-31
557,2015-02-13
558,2015-02-22
559,2015-01-08
560,2015-02-04
561,2015-02-04
562,2015-02-26
563,2015-01-08
564,2015-02-15
565,2015-01-14
566,2015-01-12
567,2015-01-18
568,2015-01-15
569,2015-02-24
570,2015-02-07
571,2015-02-22
572,2015-01-19
573,2015-02-28
574,2015-02-04
575,2015-02-17
576,2015-02-17
577,2015-01-17
578,2015-02-02
579,2015-02-12
580,2015-01-04
581,2015-02-21
582,2015-01-23
583,2015-02-12
584,2015-01-23
585,2015-02-10
586,2015-01-10
587,2015-02-12
588,2015-02-21
589,2015-01-18
590,2015-02-28
591,2015-01-19
592,2015-01-11
593,2015-02-11
594,2015-01-09
595,2015-01-20
596,2015-02-26
597,2015-02-02
598,2015-01-04
599,2015-02-19
600,2015-01-12
601,2015-01-24
602,2015-02-17
603,2015-01-13
604,2015-02-28
605,2015-01-03
606,2015-02-05
607,2015-01-01
608,2015-01-06
609,2015-02-03
610,2015-02-12
611,2015-02-16
612,2015-02-25
613,2015-01-21
614,2015-01-28
615,2015-02-27
616,2015-02-10
617,2015-01-18
618,2015-01-13
619,2015-01-31
620,2015-01-15
621,2015-02-13
622,2015-02-13
623,2015-01-03
624,2015-01-13
625,2015-02-14
626,2015-01-20
627,2015-01-18
628,2015-01-03
629,2015-03-01
630,2015-01-01
631,2015-01-29
632,2015-01-10
633,2015-01-29
634,2015-02-20
635,2015-01-21
636,2015-01-18
637,2015-01-09
638,2015-01-13
639,2015-02-13
640,2015-01-08
641,2015-02-17
642,2015-01-15
643,2015-01-24
644,2015-02-28
645,2015-02-16
646,2015-02-09
647,2015-01-24
648,2015-02-11
649,2015-01-27
650,2015-01-19
651,2015-02-20
652,2015-01-10
653,2015-02-21
654,2015-02-01
655,2015-02-25
656,2015-02-24
657,2015-02-21
658,2015-01-08
659,2015-01-10
660,2015-02-14
661,2015-02-26
662,2015-01-30
663,2015-01-07
664,2015-02-27
665,2015-02-13
666,2015-02-02
667,2015-02-27
668,2015-02-02
669,2015-01-17
670,2015-01-12
671,2015-01-20
672,2015-02-05
673,2015-01-20
674,2015-02-24
675,2015-02-21
676,2015-02-11
677,2015-01-24
678,2015-01-06
679,2015-01-15
680,2015-02-22
681,2015-01-21
682,2015-02-03
683,2015-02-16
684,2015-02-07
685,2015-01-14
686,2015-02-02
687,2015-02-06
688,2015-01-15
689,2015-02-24
690,2015-01-07
691,2015-02-04
692,2015-02-04
693,2015-01-25
694,2015-02-25
695,2015-02-27
696,2015-02-11
697,2015-01-04
698,2015-01-26
699,2015-03-01
700,2015-02-06
701,2015-02-09
702,2015-02-05
703,2015-01-03
704,2015-02-24
705,2015-01-14
706,2015-01-08
707,2015-02-14
708,2015-01-23
709,2015-01-05
710,2015-02-19
711,2015-02-07
712,2015-02-07
713,2015-01-20
714,2015-02-18
715,2015-01-11
716,2015-01-22
717,2015-02-23
718,2015-01-15
719,2015-02-20
720,2015-01-19
721,2015-01-10
722,2015-01-16
723,2015-02-12
724,2015-01-23
725,2015-02-13
726,2015-01-27
727,2015-02-14
728,2015-02-01
729,2015-02-23
730,2015-01-20
731,2015-01-08
732,2015-02-23
733,2015-02-04
734,2015-02-09
735,2015-02-18
736,2015-02-10
737,2015-01-20
738,2015-01-27
739,2015-01-21
740,2015-02-18
741,2015-02-26
742,2015-01-29
743,2015-02-08
744,2015-01-19
745,2015-02-08
746,2015-01-07
747,2015-02-13
748,2015-02-15
749,2015-02-14
750,2015-01-31
751,2015-01-28
752,2015-03-01
753,2015-01-10
754,2015-02-25
755,2015-01-30
756,2015-02-06
757,2015-02-08
758,2015-01-13
759,2015-01-18
760,2015-03-01
761,2015-02-02
762,2015-01-20
763,2015-01-24
764,2015-01-04
765,2015-01-17
766,2015-02-04
767,2015-02-14
768,2015-01-07
769,2015-02-02
770,2015-01-12
771,2015-01-01
772,2015-02-22
773,2015-01-16
774,2015-01-28
775,2015-01-23
776,2015-02-25
777,2015-02-11
778,2015-01-03
779,2015-01-30
780,2015-01-18
781,2015-01-04
782,2015-01-20
783,2015-02-12
784,2015-02-19
785,2015-02-21
786,2015-02-02
787,2015-02-01
788,2015-01-08
789,2015-01-16
790,2015-02-20
791,2015-01-30
792,2015-01-19
793,2015-02-25
794,2015-01-24
795,2015-01-16
796,2015-01-12
797,2015-01-04
798,2015-02-02
799,2015-02-01
800,2015-02-14
801,2015-02-08
802,2015-01-22
803,2015-01-14
804,2015-02-03
805,2015-01-20
806,2015-01-01
807,2015-02-02
808,2015-01-23
809,2015-01-26
810,2015-01-02
811,2015-02-25
812,2015-01-15
813,2015-02-09
814,2015-01-16
815,2015-02-01
816,2015-02-10
817,2015-01-03
818,2015-01-01
819,2015-02-23
820,2015-01-28
821,2015-02-22
822,2015-01-03
823,2015-01-10
824,2015-01-25
825,2015-01-10
826,2015-01-28
827,2015-02-18
828,2015-01-24
829,2015-01-20
830,2015-01-10
831,2015-01-07
832,2015-01-16
833,2015-01-01
834,2015-01-07
835,2015-02-17
836,2015-02-26
837,2015-01-31
838,2015-02-27
839,2015-03-01
840,2015-02-13
841,2015-01-08
842,2015-02-05
843,2015-02-20
844,2015-01-24
845,2015-01-31
846,2015-01-23
847,2015-01-11
848,2015-02-20
849,2015-02-24
850,2015-01-19
851,2015-01-08
852,2015-03-01
853,2015-01-21
854,2015-02-28
855,2015-01-26
856,2015-01-31
857,2015-02-20
858,2015-02-17
859,2015-02-02
860,2015-02-06
861,2015-02-11
862,2015-01-25
863,2015-02-23
864,2015-01-29
865,2015-01-02
866,2015-02-06
867,2015-02-14
868,2015-02-04
869,2015-02-12
870,2015-02-12
871,2015-01-28
872,2015-01-10
873,2015-01-19
874,2015-01-19
875,2015-01-28
876,2015-02-16
877,2015-01-08
878,2015-01-24
879,2015-02-18
880,2015-01-21
881,2015-01-08
882,2015-02-02
883,2015-03-01
884,2015-02-04
885,2015-02-27
886,2015-02-09
887,2015-02-19
888,2015-01-12
889,2015-02-07
890,2015-01-13
891,2015-01-18
892,2015-01-15
893,2015-02-23
894,2015-02-17
895,2015-02-17
896,2015-01-18
897,2015-01-17
898,2015-02-25
899,2015-01-06
900,2015-02-26
901,2015-02-11
902,2015-02-13
903,2015-01-10
904,2015-01-24
905,2015-02-15
906,2015-01-09
907,2015-01-31
908,2015-02-04
909,2015-01-30
910,2015-02-27
911,2015-02-05
912,2015-01-30
913,2015-01-03
914,2015-03-01
915,2015-02-13
916,2015-02-25
917,2015-01-23
918,2015-02-19
919,2015-02-08
920,2015-02-04
921,2015-02-22
922,2015-01-14
923,2015-01-06
924,2015-01-19
925,2015-01-24
926,2015-01-27
927,2015-01-13
928,2015-01-15
929,2015-02-04
930,2015-01-04
931,2015-01-14
932,2015-01-27
933,2015-02-12
934,2015-02-03
935,2015-01-26
936,2015-01-09
937,2015-02-17
938,2015-01-16
939,2015-01-12
940,2015-01-03
941,2015-01-22
942,2015-01-13
943,2015-01-31
944,2015-02-04
945,2015-01-20
946,2015-02-07
947,2015-02-05
948,2015-01-02
949,2015-02-08
950,2015-01-13
951,2015-01-16
952,2015-01-30
953,2015-02-26
954,2015-01-27
955,2015-01-28
956,2015-02-23
957,2015-01-18
958,2015-02-15
959,2015-02-04
960,2015-01-12
961,2015-01-02
962,2015-01-27
963,2015-02-09
964,2015-02-06
965,2015-01-03
966,2015-01-12
967,2015-01-22
968,2015-01-03
969,2015-02-23
970,2015-01-22
971,2015-02-13
972,2015-02-08
973,2015-01-09
974,2015-02-08
975,2015-01-10
976,2015-01-26
977,2015-02-21
978,2015-01-23
979,2015-02-05
980,2015-02-15
981,2015-01-08
982,2015-01-01
983,2015-02-26
984,2015-02-28
985,2015-01-13
986,2015-02-19
987,2015-01-13
988,2015-02-17
989,2015-02-15
990,2015-01-31
991,2015-02-06
992,2015-01-23
993,2015-02-17
994,2015-01-22
995,2015-02-22
996,2015-01-24
997,2015-01-23
998,2015-02-26
999,2015-02-26
